GITTER_ID_1km;x_mp_1km;y_mp_1km;Einwohner
CRS3035RES1000mN2710000E4342000;4342500;2710500;1680
CRS3035RES1000mN2710000E4343000;4343500;2710500;1043
CRS3035RES1000mN2710000E4344000;4344500;2710500;52
CRS3035RES1000mN2710000E4345000;4345500;2710500;245
CRS3035RES1000mN2710000E4346000;4346500;2710500;63
CRS3035RES1000mN2710000E4347000;4347500;2710500;724
CRS3035RES1000mN2710000E4348000;4348500;2710500;971
CRS3035RES1000mN2710000E4349000;4349500;2710500;823
CRS3035RES1000mN2710000E4350000;4350500;2710500;279
CRS3035RES1000mN2710000E4351000;4351500;2710500;4
CRS3035RES1000mN2710000E4402000;4402500;2710500;1161
CRS3035RES1000mN2710000E4403000;4403500;2710500;1033
CRS3035RES1000mN2710000E4404000;4404500;2710500;1335
CRS3035RES1000mN2710000E4416000;4416500;2710500;283
CRS3035RES1000mN2710000E4417000;4417500;2710500;592
CRS3035RES1000mN2711000E4318000;4318500;2711500;59
CRS3035RES1000mN2711000E4319000;4319500;2711500;27
CRS3035RES1000mN2711000E4320000;4320500;2711500;26
CRS3035RES1000mN2711000E4322000;4322500;2711500;9
CRS3035RES1000mN2711000E4323000;4323500;2711500;6
CRS3035RES1000mN2711000E4324000;4324500;2711500;13
CRS3035RES1000mN2711000E4336000;4336500;2711500;12
CRS3035RES1000mN2711000E4337000;4337500;2711500;127
CRS3035RES1000mN2711000E4338000;4338500;2711500;44
CRS3035RES1000mN2711000E4339000;4339500;2711500;137
CRS3035RES1000mN2711000E4340000;4340500;2711500;946
CRS3035RES1000mN2711000E4341000;4341500;2711500;3409
CRS3035RES1000mN2711000E4342000;4342500;2711500;3159
CRS3035RES1000mN2711000E4343000;4343500;2711500;3077
CRS3035RES1000mN2711000E4344000;4344500;2711500;208
CRS3035RES1000mN2711000E4345000;4345500;2711500;14
CRS3035RES1000mN2711000E4347000;4347500;2711500;35
CRS3035RES1000mN2711000E4351000;4351500;2711500;333
CRS3035RES1000mN2711000E4352000;4352500;2711500;3
CRS3035RES1000mN2711000E4403000;4403500;2711500;203
CRS3035RES1000mN2711000E4404000;4404500;2711500;353
CRS3035RES1000mN2711000E4416000;4416500;2711500;120
CRS3035RES1000mN2711000E4417000;4417500;2711500;499
CRS3035RES1000mN2712000E4318000;4318500;2712500;35
CRS3035RES1000mN2712000E4319000;4319500;2712500;28
CRS3035RES1000mN2712000E4320000;4320500;2712500;4
CRS3035RES1000mN2712000E4321000;4321500;2712500;90
CRS3035RES1000mN2712000E4322000;4322500;2712500;222
CRS3035RES1000mN2712000E4323000;4323500;2712500;118
CRS3035RES1000mN2712000E4324000;4324500;2712500;6
CRS3035RES1000mN2712000E4337000;4337500;2712500;16
CRS3035RES1000mN2712000E4338000;4338500;2712500;219
CRS3035RES1000mN2712000E4339000;4339500;2712500;82
CRS3035RES1000mN2712000E4340000;4340500;2712500;1634
CRS3035RES1000mN2712000E4341000;4341500;2712500;1875
CRS3035RES1000mN2712000E4342000;4342500;2712500;882
CRS3035RES1000mN2712000E4343000;4343500;2712500;197
CRS3035RES1000mN2712000E4354000;4354500;2712500;8
CRS3035RES1000mN2712000E4403000;4403500;2712500;764
CRS3035RES1000mN2712000E4404000;4404500;2712500;1306
CRS3035RES1000mN2712000E4405000;4405500;2712500;7
CRS3035RES1000mN2712000E4417000;4417500;2712500;873
CRS3035RES1000mN2712000E4418000;4418500;2712500;165
CRS3035RES1000mN2713000E4300000;4300500;2713500;400
CRS3035RES1000mN2713000E4301000;4301500;2713500;138
CRS3035RES1000mN2713000E4310000;4310500;2713500;51
CRS3035RES1000mN2713000E4311000;4311500;2713500;3
CRS3035RES1000mN2713000E4314000;4314500;2713500;30
CRS3035RES1000mN2713000E4317000;4317500;2713500;18
CRS3035RES1000mN2713000E4318000;4318500;2713500;73
CRS3035RES1000mN2713000E4319000;4319500;2713500;8
CRS3035RES1000mN2713000E4320000;4320500;2713500;19
CRS3035RES1000mN2713000E4321000;4321500;2713500;31
CRS3035RES1000mN2713000E4322000;4322500;2713500;261
CRS3035RES1000mN2713000E4323000;4323500;2713500;5
CRS3035RES1000mN2713000E4324000;4324500;2713500;48
CRS3035RES1000mN2713000E4334000;4334500;2713500;4
CRS3035RES1000mN2713000E4338000;4338500;2713500;10
CRS3035RES1000mN2713000E4339000;4339500;2713500;44
CRS3035RES1000mN2713000E4340000;4340500;2713500;964
CRS3035RES1000mN2713000E4341000;4341500;2713500;281
CRS3035RES1000mN2713000E4342000;4342500;2713500;1609
CRS3035RES1000mN2713000E4343000;4343500;2713500;7
CRS3035RES1000mN2713000E4344000;4344500;2713500;4
CRS3035RES1000mN2713000E4351000;4351500;2713500;3
CRS3035RES1000mN2713000E4352000;4352500;2713500;15
CRS3035RES1000mN2713000E4353000;4353500;2713500;17
CRS3035RES1000mN2713000E4404000;4404500;2713500;2478
CRS3035RES1000mN2713000E4405000;4405500;2713500;813
CRS3035RES1000mN2713000E4417000;4417500;2713500;412
CRS3035RES1000mN2713000E4418000;4418500;2713500;32
CRS3035RES1000mN2714000E4296000;4296500;2714500;250
CRS3035RES1000mN2714000E4297000;4297500;2714500;2104
CRS3035RES1000mN2714000E4299000;4299500;2714500;12
CRS3035RES1000mN2714000E4300000;4300500;2714500;1117
CRS3035RES1000mN2714000E4301000;4301500;2714500;113
CRS3035RES1000mN2714000E4309000;4309500;2714500;23
CRS3035RES1000mN2714000E4310000;4310500;2714500;179
CRS3035RES1000mN2714000E4311000;4311500;2714500;23
CRS3035RES1000mN2714000E4312000;4312500;2714500;9
CRS3035RES1000mN2714000E4314000;4314500;2714500;15
CRS3035RES1000mN2714000E4315000;4315500;2714500;100
CRS3035RES1000mN2714000E4317000;4317500;2714500;17
CRS3035RES1000mN2714000E4318000;4318500;2714500;10
CRS3035RES1000mN2714000E4319000;4319500;2714500;10
CRS3035RES1000mN2714000E4320000;4320500;2714500;46
CRS3035RES1000mN2714000E4321000;4321500;2714500;74
CRS3035RES1000mN2714000E4322000;4322500;2714500;270
CRS3035RES1000mN2714000E4323000;4323500;2714500;39
CRS3035RES1000mN2714000E4336000;4336500;2714500;3
CRS3035RES1000mN2714000E4338000;4338500;2714500;65
CRS3035RES1000mN2714000E4339000;4339500;2714500;1165
CRS3035RES1000mN2714000E4340000;4340500;2714500;1905
CRS3035RES1000mN2714000E4341000;4341500;2714500;309
CRS3035RES1000mN2714000E4342000;4342500;2714500;638
CRS3035RES1000mN2714000E4343000;4343500;2714500;28
CRS3035RES1000mN2714000E4352000;4352500;2714500;98
CRS3035RES1000mN2714000E4353000;4353500;2714500;175
CRS3035RES1000mN2714000E4354000;4354500;2714500;15
CRS3035RES1000mN2714000E4404000;4404500;2714500;23
CRS3035RES1000mN2714000E4405000;4405500;2714500;23
CRS3035RES1000mN2715000E4296000;4296500;2715500;25
CRS3035RES1000mN2715000E4297000;4297500;2715500;2673
CRS3035RES1000mN2715000E4298000;4298500;2715500;1667
CRS3035RES1000mN2715000E4299000;4299500;2715500;1304
CRS3035RES1000mN2715000E4300000;4300500;2715500;496
CRS3035RES1000mN2715000E4301000;4301500;2715500;124
CRS3035RES1000mN2715000E4307000;4307500;2715500;3
CRS3035RES1000mN2715000E4308000;4308500;2715500;65
CRS3035RES1000mN2715000E4309000;4309500;2715500;30
CRS3035RES1000mN2715000E4310000;4310500;2715500;364
CRS3035RES1000mN2715000E4311000;4311500;2715500;17
CRS3035RES1000mN2715000E4312000;4312500;2715500;37
CRS3035RES1000mN2715000E4313000;4313500;2715500;29
CRS3035RES1000mN2715000E4315000;4315500;2715500;25
CRS3035RES1000mN2715000E4316000;4316500;2715500;76
CRS3035RES1000mN2715000E4317000;4317500;2715500;139
CRS3035RES1000mN2715000E4318000;4318500;2715500;8
CRS3035RES1000mN2715000E4319000;4319500;2715500;39
CRS3035RES1000mN2715000E4320000;4320500;2715500;23
CRS3035RES1000mN2715000E4321000;4321500;2715500;44
CRS3035RES1000mN2715000E4322000;4322500;2715500;1600
CRS3035RES1000mN2715000E4323000;4323500;2715500;248
CRS3035RES1000mN2715000E4324000;4324500;2715500;72
CRS3035RES1000mN2715000E4325000;4325500;2715500;80
CRS3035RES1000mN2715000E4326000;4326500;2715500;174
CRS3035RES1000mN2715000E4327000;4327500;2715500;402
CRS3035RES1000mN2715000E4328000;4328500;2715500;43
CRS3035RES1000mN2715000E4329000;4329500;2715500;253
CRS3035RES1000mN2715000E4337000;4337500;2715500;1923
CRS3035RES1000mN2715000E4338000;4338500;2715500;970
CRS3035RES1000mN2715000E4339000;4339500;2715500;84
CRS3035RES1000mN2715000E4340000;4340500;2715500;94
CRS3035RES1000mN2715000E4341000;4341500;2715500;54
CRS3035RES1000mN2715000E4342000;4342500;2715500;37
CRS3035RES1000mN2715000E4343000;4343500;2715500;8
CRS3035RES1000mN2715000E4353000;4353500;2715500;16
CRS3035RES1000mN2715000E4376000;4376500;2715500;15
CRS3035RES1000mN2716000E4145000;4145500;2716500;21
CRS3035RES1000mN2716000E4146000;4146500;2716500;371
CRS3035RES1000mN2716000E4147000;4147500;2716500;107
CRS3035RES1000mN2716000E4148000;4148500;2716500;67
CRS3035RES1000mN2716000E4294000;4294500;2716500;340
CRS3035RES1000mN2716000E4295000;4295500;2716500;1632
CRS3035RES1000mN2716000E4296000;4296500;2716500;1289
CRS3035RES1000mN2716000E4297000;4297500;2716500;2530
CRS3035RES1000mN2716000E4298000;4298500;2716500;3263
CRS3035RES1000mN2716000E4299000;4299500;2716500;2468
CRS3035RES1000mN2716000E4300000;4300500;2716500;358
CRS3035RES1000mN2716000E4301000;4301500;2716500;99
CRS3035RES1000mN2716000E4308000;4308500;2716500;28
